index,model,dataset,horizon,seed,epochs,batch_size
1,Crossformer,ETTh1,96,3407,20,32
2,Crossformer,ETTh1,96,3408,20,32
3,Crossformer,ETTh1,96,3409,20,32
4,Crossformer,ETTh1,192,3407,20,32
5,Crossformer,ETTh1,192,3408,20,32
6,Crossformer,ETTh1,192,3409,20,32
7,Crossformer,ETTh1,336,3407,20,32
8,Crossformer,ETTh1,336,3408,20,32
9,Crossformer,ETTh1,336,3409,20,32
10,Crossformer,ETTh1,720,3407,20,32
11,Crossformer,ETTh1,720,3408,20,32
12,Crossformer,ETTh1,720,3409,20,32
13,Crossformer,ETTh2,96,3407,20,32
14,Crossformer,ETTh2,96,3408,20,32
15,Crossformer,ETTh2,96,3409,20,32
16,Crossformer,ETTh2,192,3407,20,32
17,Crossformer,ETTh2,192,3408,20,32
18,Crossformer,ETTh2,192,3409,20,32
19,Crossformer,ETTh2,336,3407,20,32
20,Crossformer,ETTh2,336,3408,20,32
21,Crossformer,ETTh2,336,3409,20,32
22,Crossformer,ETTh2,720,3407,20,32
23,Crossformer,ETTh2,720,3408,20,32
24,Crossformer,ETTh2,720,3409,20,32
25,Crossformer,ETTm1,96,3407,20,32
26,Crossformer,ETTm1,96,3408,20,32
27,Crossformer,ETTm1,96,3409,20,32
28,Crossformer,ETTm1,192,3407,20,32
29,Crossformer,ETTm1,192,3408,20,32
30,Crossformer,ETTm1,192,3409,20,32
31,Crossformer,ETTm1,336,3407,20,32
32,Crossformer,ETTm1,336,3408,20,32
33,Crossformer,ETTm1,336,3409,20,32
34,Crossformer,ETTm1,720,3407,20,32
35,Crossformer,ETTm1,720,3408,20,32
36,Crossformer,ETTm1,720,3409,20,32
37,Crossformer,ETTm2,96,3407,20,32
38,Crossformer,ETTm2,96,3408,20,32
39,Crossformer,ETTm2,96,3409,20,32
40,Crossformer,ETTm2,192,3407,20,32
41,Crossformer,ETTm2,192,3408,20,32
42,Crossformer,ETTm2,192,3409,20,32
43,Crossformer,ETTm2,336,3407,20,32
44,Crossformer,ETTm2,336,3408,20,32
45,Crossformer,ETTm2,336,3409,20,32
46,Crossformer,ETTm2,720,3407,20,32
47,Crossformer,ETTm2,720,3408,20,32
48,Crossformer,ETTm2,720,3409,20,32
49,Crossformer,Weather,96,3407,20,32
50,Crossformer,Weather,96,3408,20,32
51,Crossformer,Weather,96,3409,20,32
52,Crossformer,Weather,192,3407,20,32
53,Crossformer,Weather,192,3408,20,32
54,Crossformer,Weather,192,3409,20,32
55,Crossformer,Weather,336,3407,20,32
56,Crossformer,Weather,336,3408,20,32
57,Crossformer,Weather,336,3409,20,32
58,Crossformer,Weather,720,3407,20,32
59,Crossformer,Weather,720,3408,20,32
60,Crossformer,Weather,720,3409,20,32
61,Crossformer,Electricity,96,3407,20,16
62,Crossformer,Electricity,96,3408,20,16
63,Crossformer,Electricity,96,3409,20,16
64,Crossformer,Electricity,192,3407,20,16
65,Crossformer,Electricity,192,3408,20,16
66,Crossformer,Electricity,192,3409,20,16
67,Crossformer,Electricity,336,3407,20,16
68,Crossformer,Electricity,336,3408,20,16
69,Crossformer,Electricity,336,3409,20,16
70,Crossformer,Electricity,720,3407,20,16
71,Crossformer,Electricity,720,3408,20,16
72,Crossformer,Electricity,720,3409,20,16
73,Crossformer,ILI,24,3407,20,32
74,Crossformer,ILI,24,3408,20,32
75,Crossformer,ILI,24,3409,20,32
76,Crossformer,ILI,36,3407,20,32
77,Crossformer,ILI,36,3408,20,32
78,Crossformer,ILI,36,3409,20,32
79,Crossformer,ILI,48,3407,20,32
80,Crossformer,ILI,48,3408,20,32
81,Crossformer,ILI,48,3409,20,32
82,Crossformer,ILI,60,3407,20,32
83,Crossformer,ILI,60,3408,20,32
84,Crossformer,ILI,60,3409,20,32
85,Crossformer,ExchangeRate,96,3407,20,32
86,Crossformer,ExchangeRate,96,3408,20,32
87,Crossformer,ExchangeRate,96,3409,20,32
88,Crossformer,ExchangeRate,192,3407,20,32
89,Crossformer,ExchangeRate,192,3408,20,32
90,Crossformer,ExchangeRate,192,3409,20,32
91,Crossformer,ExchangeRate,336,3407,20,32
92,Crossformer,ExchangeRate,336,3408,20,32
93,Crossformer,ExchangeRate,336,3409,20,32
94,Crossformer,ExchangeRate,720,3407,20,32
95,Crossformer,ExchangeRate,720,3408,20,32
96,Crossformer,ExchangeRate,720,3409,20,32
97,Crossformer,Traffic,96,3407,20,8
98,Crossformer,Traffic,96,3408,20,8
99,Crossformer,Traffic,96,3409,20,8
100,Crossformer,Traffic,192,3407,20,8
101,Crossformer,Traffic,192,3408,20,8
102,Crossformer,Traffic,192,3409,20,8
103,Crossformer,Traffic,336,3407,20,8
104,Crossformer,Traffic,336,3408,20,8
