index,model,dataset,horizon,seed,epochs,batch_size,status
1,Crossformer,ETTh1,96,3407,20,32,pending
2,Crossformer,ETTh1,96,3408,20,32,pending
3,Crossformer,ETTh1,96,3409,20,32,pending
4,Crossformer,ETTh1,192,3407,20,32,pending
5,Crossformer,ETTh1,192,3408,20,32,pending
6,Crossformer,ETTh1,192,3409,20,32,pending
7,Crossformer,ETTh1,336,3407,20,32,pending
8,Crossformer,ETTh1,336,3408,20,32,pending
9,Crossformer,ETTh1,336,3409,20,32,pending
10,Crossformer,ETTh1,720,3407,20,32,pending
11,Crossformer,ETTh1,720,3408,20,32,pending
12,Crossformer,ETTh1,720,3409,20,32,pending
13,Crossformer,ETTh2,96,3407,20,32,pending
14,Crossformer,ETTh2,96,3408,20,32,pending
15,Crossformer,ETTh2,96,3409,20,32,pending
16,Crossformer,ETTh2,192,3407,20,32,pending
17,Crossformer,ETTh2,192,3408,20,32,pending
18,Crossformer,ETTh2,192,3409,20,32,pending
19,Crossformer,ETTh2,336,3407,20,32,pending
20,Crossformer,ETTh2,336,3408,20,32,pending
21,Crossformer,ETTh2,336,3409,20,32,pending
22,Crossformer,ETTh2,720,3407,20,32,pending
23,Crossformer,ETTh2,720,3408,20,32,pending
24,Crossformer,ETTh2,720,3409,20,32,pending
25,Crossformer,ETTm1,96,3407,20,32,pending
26,Crossformer,ETTm1,96,3408,20,32,pending
27,Crossformer,ETTm1,96,3409,20,32,pending
28,Crossformer,ETTm1,192,3407,20,32,pending
29,Crossformer,ETTm1,192,3408,20,32,pending
30,Crossformer,ETTm1,192,3409,20,32,pending
31,Crossformer,ETTm1,336,3407,20,32,pending
32,Crossformer,ETTm1,336,3408,20,32,pending
33,Crossformer,ETTm1,336,3409,20,32,pending
34,Crossformer,ETTm1,720,3407,20,32,pending
35,Crossformer,ETTm1,720,3408,20,32,pending
36,Crossformer,ETTm1,720,3409,20,32,pending
37,Crossformer,ETTm2,96,3407,20,32,pending
38,Crossformer,ETTm2,96,3408,20,32,pending
39,Crossformer,ETTm2,96,3409,20,32,pending
40,Crossformer,ETTm2,192,3407,20,32,pending
41,Crossformer,ETTm2,192,3408,20,32,pending
42,Crossformer,ETTm2,192,3409,20,32,pending
43,Crossformer,ETTm2,336,3407,20,32,pending
44,Crossformer,ETTm2,336,3408,20,32,pending
45,Crossformer,ETTm2,336,3409,20,32,pending
46,Crossformer,ETTm2,720,3407,20,32,pending
47,Crossformer,ETTm2,720,3408,20,32,pending
48,Crossformer,ETTm2,720,3409,20,32,pending
49,Crossformer,Weather,96,3407,20,32,pending
50,Crossformer,Weather,96,3408,20,32,pending
51,Crossformer,Weather,96,3409,20,32,pending
52,Crossformer,Weather,192,3407,20,32,pending
53,Crossformer,Weather,192,3408,20,32,pending
54,Crossformer,Weather,192,3409,20,32,pending
55,Crossformer,Weather,336,3407,20,32,pending
56,Crossformer,Weather,336,3408,20,32,pending
57,Crossformer,Weather,336,3409,20,32,pending
58,Crossformer,Weather,720,3407,20,32,pending
59,Crossformer,Weather,720,3408,20,32,pending
60,Crossformer,Weather,720,3409,20,32,pending
61,Crossformer,Electricity,96,3407,20,16,pending
62,Crossformer,Electricity,96,3408,20,16,pending
63,Crossformer,Electricity,96,3409,20,16,pending
64,Crossformer,Electricity,192,3407,20,16,pending
65,Crossformer,Electricity,192,3408,20,16,pending
66,Crossformer,Electricity,192,3409,20,16,pending
67,Crossformer,Electricity,336,3407,20,16,pending
68,Crossformer,Electricity,336,3408,20,16,pending
69,Crossformer,Electricity,336,3409,20,16,pending
70,Crossformer,Electricity,720,3407,20,16,pending
71,Crossformer,Electricity,720,3408,20,16,pending
72,Crossformer,Electricity,720,3409,20,16,pending
73,Crossformer,ILI,24,3407,20,32,pending
74,Crossformer,ILI,24,3408,20,32,pending
75,Crossformer,ILI,24,3409,20,32,pending
76,Crossformer,ILI,36,3407,20,32,pending
77,Crossformer,ILI,36,3408,20,32,pending
78,Crossformer,ILI,36,3409,20,32,pending
79,Crossformer,ILI,48,3407,20,32,pending
80,Crossformer,ILI,48,3408,20,32,pending
81,Crossformer,ILI,48,3409,20,32,pending
82,Crossformer,ILI,60,3407,20,32,pending
83,Crossformer,ILI,60,3408,20,32,pending
84,Crossformer,ILI,60,3409,20,32,pending
85,Crossformer,ExchangeRate,96,3407,20,32,pending
86,Crossformer,ExchangeRate,96,3408,20,32,pending
87,Crossformer,ExchangeRate,96,3409,20,32,pending
88,Crossformer,ExchangeRate,192,3407,20,32,pending
89,Crossformer,ExchangeRate,192,3408,20,32,pending
90,Crossformer,ExchangeRate,192,3409,20,32,pending
91,Crossformer,ExchangeRate,336,3407,20,32,pending
92,Crossformer,ExchangeRate,336,3408,20,32,pending
93,Crossformer,ExchangeRate,336,3409,20,32,pending
94,Crossformer,ExchangeRate,720,3407,20,32,pending
95,Crossformer,ExchangeRate,720,3408,20,32,pending
96,Crossformer,ExchangeRate,720,3409,20,32,pending
97,Crossformer,Traffic,96,3407,20,8,pending
98,Crossformer,Traffic,96,3408,20,8,pending
99,Crossformer,Traffic,96,3409,20,8,pending
100,Crossformer,Traffic,192,3407,20,8,pending
101,Crossformer,Traffic,192,3408,20,8,pending
102,Crossformer,Traffic,192,3409,20,8,pending
103,Crossformer,Traffic,336,3407,20,8,pending
104,Crossformer,Traffic,336,3408,20,8,pending
105,Crossformer,Traffic,336,3409,20,8,pending
106,Crossformer,Traffic,720,3407,20,8,pending
107,Crossformer,Traffic,720,3408,20,8,pending
108,Crossformer,Traffic,720,3409,20,8,pending
109,PatchTST,ETTh1,96,3407,100,64,pending
110,PatchTST,ETTh1,96,3408,100,64,pending
111,PatchTST,ETTh1,96,3409,100,64,pending
112,PatchTST,ETTh1,192,3407,100,64,pending
113,PatchTST,ETTh1,192,3408,100,64,pending
114,PatchTST,ETTh1,192,3409,100,64,pending
115,PatchTST,ETTh1,336,3407,100,64,pending
116,PatchTST,ETTh1,336,3408,100,64,pending
117,PatchTST,ETTh1,336,3409,100,64,pending
118,PatchTST,ETTh1,720,3407,100,64,pending
119,PatchTST,ETTh1,720,3408,100,64,pending
120,PatchTST,ETTh1,720,3409,100,64,pending
121,PatchTST,ETTh2,96,3407,100,64,pending
122,PatchTST,ETTh2,96,3408,100,64,pending
123,PatchTST,ETTh2,96,3409,100,64,pending
124,PatchTST,ETTh2,192,3407,100,64,pending
125,PatchTST,ETTh2,192,3408,100,64,pending
126,PatchTST,ETTh2,192,3409,100,64,pending
127,PatchTST,ETTh2,336,3407,100,64,pending
128,PatchTST,ETTh2,336,3408,100,64,pending
129,PatchTST,ETTh2,336,3409,100,64,pending
130,PatchTST,ETTh2,720,3407,100,64,pending
131,PatchTST,ETTh2,720,3408,100,64,pending
132,PatchTST,ETTh2,720,3409,100,64,pending
133,PatchTST,ETTm1,96,3407,100,64,pending
134,PatchTST,ETTm1,96,3408,100,64,pending
135,PatchTST,ETTm1,96,3409,100,64,pending
136,PatchTST,ETTm1,192,3407,100,64,pending
137,PatchTST,ETTm1,192,3408,100,64,pending
138,PatchTST,ETTm1,192,3409,100,64,pending
139,PatchTST,ETTm1,336,3407,100,64,pending
140,PatchTST,ETTm1,336,3408,100,64,pending
141,PatchTST,ETTm1,336,3409,100,64,pending
142,PatchTST,ETTm1,720,3407,100,64,pending
143,PatchTST,ETTm1,720,3408,100,64,pending
144,PatchTST,ETTm1,720,3409,100,64,pending
145,PatchTST,ETTm2,96,3407,100,64,pending
146,PatchTST,ETTm2,96,3408,100,64,pending
147,PatchTST,ETTm2,96,3409,100,64,pending
148,PatchTST,ETTm2,192,3407,100,64,pending
149,PatchTST,ETTm2,192,3408,100,64,pending
150,PatchTST,ETTm2,192,3409,100,64,pending
151,PatchTST,ETTm2,336,3407,100,64,pending
152,PatchTST,ETTm2,336,3408,100,64,pending
153,PatchTST,ETTm2,336,3409,100,64,pending
154,PatchTST,ETTm2,720,3407,100,64,pending
155,PatchTST,ETTm2,720,3408,100,64,pending
156,PatchTST,ETTm2,720,3409,100,64,pending
157,PatchTST,Weather,96,3407,100,64,pending
158,PatchTST,Weather,96,3408,100,64,pending
159,PatchTST,Weather,96,3409,100,64,pending
160,PatchTST,Weather,192,3407,100,64,pending
161,PatchTST,Weather,192,3408,100,64,pending
162,PatchTST,Weather,192,3409,100,64,pending
