index,model,dataset,horizon,seed,epochs,batch_size
1,Crossformer,ETTh1,96,3407,1,32
2,Crossformer,ETTh2,96,3407,1,32
3,Crossformer,ETTm1,96,3407,1,32
4,Crossformer,ETTm2,96,3407,1,32
5,Crossformer,Weather,96,3407,1,32
6,Crossformer,Electricity,96,3407,1,16
7,Crossformer,ILI,24,3407,1,32
8,Crossformer,ExchangeRate,96,3407,1,32
9,Crossformer,Traffic,96,3407,1,8
10,PatchTST,ETTh1,96,3407,1,64
11,PatchTST,ETTh2,96,3407,1,64
12,PatchTST,ETTm1,96,3407,1,64
13,PatchTST,ETTm2,96,3407,1,64
14,PatchTST,Weather,96,3407,1,64
15,PatchTST,Electricity,96,3407,1,16
16,PatchTST,ILI,24,3407,1,64
17,PatchTST,ExchangeRate,96,3407,1,64
18,PatchTST,Traffic,96,3407,1,8
19,TimesNet,ETTh1,96,3407,1,32
20,TimesNet,ETTh2,96,3407,1,32
21,TimesNet,ETTm1,96,3407,1,32
22,TimesNet,ETTm2,96,3407,1,32
23,TimesNet,Weather,96,3407,1,32
24,TimesNet,Electricity,96,3407,1,16
25,TimesNet,ILI,24,3407,1,32
26,TimesNet,ExchangeRate,96,3407,1,32
27,TimesNet,Traffic,96,3407,1,8
28,iTransformer,ETTh1,96,3407,1,32
29,iTransformer,ETTh2,96,3407,1,32
30,iTransformer,ETTm1,96,3407,1,32
31,iTransformer,ETTm2,96,3407,1,32
32,iTransformer,Weather,96,3407,1,32
33,iTransformer,Electricity,96,3407,1,16
34,iTransformer,ILI,24,3407,1,32
35,iTransformer,ExchangeRate,96,3407,1,32
36,iTransformer,Traffic,96,3407,1,8
37,TimeMixer,ETTh1,96,3407,1,32
38,TimeMixer,ETTh2,96,3407,1,32
39,TimeMixer,ETTm1,96,3407,1,32
40,TimeMixer,ETTm2,96,3407,1,32
41,TimeMixer,Weather,96,3407,1,32
42,TimeMixer,Electricity,96,3407,1,16
43,TimeMixer,ILI,24,3407,1,32
44,TimeMixer,ExchangeRate,96,3407,1,32
45,TimeMixer,Traffic,96,3407,1,8
46,WPMixer,ETTh1,96,3407,1,64
47,WPMixer,ETTh2,96,3407,1,64
48,WPMixer,ETTm1,96,3407,1,64
49,WPMixer,ETTm2,96,3407,1,64
50,WPMixer,Weather,96,3407,1,64
51,WPMixer,Electricity,96,3407,1,16
52,WPMixer,ILI,24,3407,1,64
53,WPMixer,ExchangeRate,96,3407,1,64
54,WPMixer,Traffic,96,3407,1,8
55,TimeFilter,ETTh1,96,3407,1,32
56,TimeFilter,ETTh2,96,3407,1,32
57,TimeFilter,ETTm1,96,3407,1,32
58,TimeFilter,ETTm2,96,3407,1,32
59,TimeFilter,Weather,96,3407,1,32
60,TimeFilter,Electricity,96,3407,1,16
61,TimeFilter,ILI,24,3407,1,32
62,TimeFilter,ExchangeRate,96,3407,1,32
63,TimeFilter,Traffic,96,3407,1,8
64,MultiPatchFormer,ETTh1,96,3407,1,32
65,MultiPatchFormer,ETTh2,96,3407,1,32
66,MultiPatchFormer,ETTm1,96,3407,1,32
67,MultiPatchFormer,ETTm2,96,3407,1,32
68,MultiPatchFormer,Weather,96,3407,1,32
69,MultiPatchFormer,Electricity,96,3407,1,16
70,MultiPatchFormer,ILI,24,3407,1,32
71,MultiPatchFormer,ExchangeRate,96,3407,1,32
72,MultiPatchFormer,Traffic,96,3407,1,8
