channel,u_change,u_spectral,u_surprise,m_peak,m_band,channel_effective_rank,m_channel,U,M,dataset,segment,sample_index,window_start,unit_id,loss_mae,loss_mse,model,seed,axis,depth,width_group,width,coupled_width,horizon,run_id
0,0.9836486205930867,0.19021412787099107,0.44075475400044134,0.375,0.8815882828788336,1.7393292424307023,0.12322154019974782,0.5382058341548397,0.45993660769286043,ETTh1,test,0,0,test:0:0,0.75796795,1.3922606,MultiPatchFormer,3407,depth,1,4,256,256,96,MultiPatchFormer__ETTh1__h96__depth__d1__wg4__s3407
1,0.9947304865903999,0.3851557396403118,0.450984086939725,0.625,0.9318095681854818,1.7393292424307023,0.12322154019974782,0.6102901043901455,0.5600103694617432,ETTh1,test,0,0,test:0:1,0.2635133,0.10926345,MultiPatchFormer,3407,depth,1,4,256,256,96,MultiPatchFormer__ETTh1__h96__depth__d1__wg4__s3407
2,0.9926986424858649,0.16925946182223778,0.4773566256335605,0.5,0.8708833644391073,1.7393292424307023,0.12322154019974782,0.5464382433138878,0.49803496821295173,ETTh1,test,0,0,test:0:2,0.7550183,1.4730746,MultiPatchFormer,3407,depth,1,4,256,256,96,MultiPatchFormer__ETTh1__h96__depth__d1__wg4__s3407
3,0.9941010466284463,0.2941581065015765,0.5194525169652857,0.625,0.8588266744884694,1.7393292424307023,0.12322154019974782,0.6025705566984362,0.5356827382294057,ETTh1,test,0,0,test:0:3,0.25291908,0.10171627,MultiPatchFormer,3407,depth,1,4,256,256,96,MultiPatchFormer__ETTh1__h96__depth__d1__wg4__s3407
4,0.990513419784704,0.4459255391938722,0.6666195276150083,0.25,0.7080040489535804,1.7393292424307023,0.12322154019974782,0.7010194955311948,0.3604085297177761,ETTh1,test,0,0,test:0:4,0.40421483,0.25918362,MultiPatchFormer,3407,depth,1,4,256,256,96,MultiPatchFormer__ETTh1__h96__depth__d1__wg4__s3407
5,0.9273979876082311,0.5693552869552956,0.4721532891472327,0.25,0.7621534961272218,1.7393292424307023,0.12322154019974782,0.6563021879035864,0.3784583454423232,ETTh1,test,0,0,test:0:5,0.26583692,0.09676653,MultiPatchFormer,3407,depth,1,4,256,256,96,MultiPatchFormer__ETTh1__h96__depth__d1__wg4__s3407
6,0.8748347322060819,0.46600910986184296,0.08573543957916646,0.625,0.9191763948425,1.7393292424307023,0.12322154019974782,0.4755264272156971,0.5557993116807493,ETTh1,test,0,0,test:0:6,0.10354874,0.016083324,MultiPatchFormer,3407,depth,1,4,256,256,96,MultiPatchFormer__ETTh1__h96__depth__d1__wg4__s3407
0,0.5508825971627198,0.449135783955964,0.9999999763505365,0.25,0.8221605976343642,1.5650228980331742,0.09417048284857822,0.6666727858230734,0.38877702682764753,ETTh1,test,24,24,test:24:0,0.636,0.90201,MultiPatchFormer,3407,depth,1,4,256,256,96,MultiPatchFormer__ETTh1__h96__depth__d1__wg4__s3407
1,0.45985449540044854,0.12612897994213712,0.08247050904234433,0.375,0.9081409148488312,1.5650228980331742,0.09417048284857822,0.22281799479497666,0.45910379923246986,ETTh1,test,24,24,test:24:1,0.28170002,0.13112779,MultiPatchFormer,3407,depth,1,4,256,256,96,MultiPatchFormer__ETTh1__h96__depth__d1__wg4__s3407
2,0.44511059471470793,0.4609741919767721,0.5162256968909047,0.25,0.8151594527217777,1.5650228980331742,0.09417048284857822,0.4741034945274616,0.3864433118567854,ETTh1,test,24,24,test:24:2,0.64499956,0.9872572,MultiPatchFormer,3407,depth,1,4,256,256,96,MultiPatchFormer__ETTh1__h96__depth__d1__wg4__s3407
3,0.044350535445054406,0.10706808926652187,0.30548399505826374,0.375,0.9528440804963454,1.5650228980331742,0.09417048284857822,0.15230087325661334,0.4740048544483079,ETTh1,test,24,24,test:24:3,0.26817057,0.11989659,MultiPatchFormer,3407,depth,1,4,256,256,96,MultiPatchFormer__ETTh1__h96__depth__d1__wg4__s3407
4,0.16854662950101573,0.2821961776327635,0.6439410937272225,0.375,0.8028156557164573,1.5650228980331742,0.09417048284857822,0.36489463362033386,0.4239953795216786,ETTh1,test,24,24,test:24:4,0.28625262,0.13821043,MultiPatchFormer,3407,depth,1,4,256,256,96,MultiPatchFormer__ETTh1__h96__depth__d1__wg4__s3407
5,0.8099783761432884,0.09240649407427391,0.9386361846271631,0.375,0.8371752031885671,1.5650228980331742,0.09417048284857822,0.6136736849482418,0.4354485620123818,ETTh1,test,24,24,test:24:5,0.18663995,0.056145284,MultiPatchFormer,3407,depth,1,4,256,256,96,MultiPatchFormer__ETTh1__h96__depth__d1__wg4__s3407
6,0.9411132777660659,0.23851734351316184,0.9999999920156359,0.5,0.9135528450607645,1.5650228980331742,0.09417048284857822,0.7265435377649546,0.5025744426364477,ETTh1,test,24,24,test:24:6,0.125387,0.023419313,MultiPatchFormer,3407,depth,1,4,256,256,96,MultiPatchFormer__ETTh1__h96__depth__d1__wg4__s3407
0,0.9808890429198143,0.3301299527805307,0.8704705753494423,0.25,0.7282451875001005,1.5513747453825484,0.09189579074393174,0.7271631903499292,0.3567136594146774,ETTh1,test,48,48,test:48:0,0.6136244,0.79186225,MultiPatchFormer,3407,depth,1,4,256,256,96,MultiPatchFormer__ETTh1__h96__depth__d1__wg4__s3407
1,0.9764745423811828,0.21748234055244323,0.2544000457958763,0.5,0.9264977411733819,1.5513747453825484,0.09189579074393174,0.48278564290983406,0.5061311773057712,ETTh1,test,48,48,test:48:1,0.2967346,0.1354653,MultiPatchFormer,3407,depth,1,4,256,256,96,MultiPatchFormer__ETTh1__h96__depth__d1__wg4__s3407
2,0.9890818110736731,0.3415064978822755,0.7567267174697082,0.25,0.7078602734109143,1.5513747453825484,0.09189579074393174,0.6957716754752189,0.34991868805161536,ETTh1,test,48,48,test:48:2,0.61101866,0.83073765,MultiPatchFormer,3407,depth,1,4,256,256,96,MultiPatchFormer__ETTh1__h96__depth__d1__wg4__s3407
3,0.9831247606414453,0.16822058159517816,0.30585065604688466,0.625,0.9482102920731461,1.5513747453825484,0.09189579074393174,0.4857319994278361,0.555035360939026,ETTh1,test,48,48,test:48:3,0.2683397,0.11938574,MultiPatchFormer,3407,depth,1,4,256,256,96,MultiPatchFormer__ETTh1__h96__depth__d1__wg4__s3407
4,0.9898049427693717,0.4318546792206083,0.3626635014647508,0.375,0.7952472403941584,1.5513747453825484,0.09189579074393174,0.5947743744849102,0.4207143437126967,ETTh1,test,48,48,test:48:4,0.260315,0.110037684,MultiPatchFormer,3407,depth,1,4,256,256,96,MultiPatchFormer__ETTh1__h96__depth__d1__wg4__s3407
5,0.9821352381208113,0.2805669618403711,0.101957556179466,0.5,0.7990621447247268,1.5513747453825484,0.09189579074393174,0.45488658538021615,0.4636526451562195,ETTh1,test,48,48,test:48:5,0.16198264,0.043699577,MultiPatchFormer,3407,depth,1,4,256,256,96,MultiPatchFormer__ETTh1__h96__depth__d1__wg4__s3407
6,0.940938207214013,0.1093656210507579,0.16692415121956092,0.125,0.7609658623400009,1.5513747453825484,0.09189579074393174,0.40574265982811064,0.32595388436131084,ETTh1,test,48,48,test:48:6,0.12898928,0.024122337,MultiPatchFormer,3407,depth,1,4,256,256,96,MultiPatchFormer__ETTh1__h96__depth__d1__wg4__s3407
0,0.5170155811558009,0.043213081024962144,0.3049238904507532,0.25,0.5971698597955309,1.9812722555906916,0.16354537565920632,0.28838418421050543,0.3369050784849124,ETTh1,test,72,72,test:72:0,0.47391608,0.41333246,MultiPatchFormer,3407,depth,1,4,256,256,96,MultiPatchFormer__ETTh1__h96__depth__d1__wg4__s3407
1,0.1889896846914353,0.2719221138432928,0.31173314668640467,0.875,0.9655495795649751,1.9812722555906916,0.16354537565920632,0.25754831507371095,0.6680316517413938,ETTh1,test,72,72,test:72:1,0.29229942,0.1290492,MultiPatchFormer,3407,depth,1,4,256,256,96,MultiPatchFormer__ETTh1__h96__depth__d1__wg4__s3407
2,0.46126399354846603,0.0429168790452885,0.41661282353098594,0.25,0.5559644421498025,1.9812722555906916,0.16354537565920632,0.3069312320415802,0.3231699392696696,ETTh1,test,72,72,test:72:2,0.46071348,0.4293113,MultiPatchFormer,3407,depth,1,4,256,256,96,MultiPatchFormer__ETTh1__h96__depth__d1__wg4__s3407
3,0.2519047053651906,0.3142318456153398,0.35893082747528626,1.0,0.9766955900613836,1.9812722555906916,0.16354537565920632,0.30835579281860553,0.7134136552401967,ETTh1,test,72,72,test:72:3,0.27223727,0.10613829,MultiPatchFormer,3407,depth,1,4,256,256,96,MultiPatchFormer__ETTh1__h96__depth__d1__wg4__s3407
4,0.3545089508551049,0.3272247908595016,0.4725145355521688,0.375,0.764503669717543,1.9812722555906916,0.16354537565920632,0.38474942575559173,0.4343496817922498,ETTh1,test,72,72,test:72:4,0.28262627,0.1280908,MultiPatchFormer,3407,depth,1,4,256,256,96,MultiPatchFormer__ETTh1__h96__depth__d1__wg4__s3407
