axis,dataset,model,horizon,segment,window_start,best_depth,selected_loss,optimal_loss,relative_tolerance,profiled_channels,U_mean,U_p10,U_p90,M_mean,M_p10,M_p90,seeds,local_units,window_index,relative_time,best_width_group,best_width,best_d_model,best_d_ff
depth,ETTh1,MultiPatchFormer,96,test,0,5.0,0.47208487785714287,0.47208487785714287,0.0,7,0.590050407029684,0.5131340713791827,0.6741891109546297,0.47833298149111564,0.3712384191525044,0.5574837347931468,1,7,0,0.0,,,,
depth,ETTh1,MultiPatchFormer,96,test,24,1.0,0.33686665814285716,0.33686665814285716,0.0,7,0.46014385781937933,0.1946111461796313,0.6906210865998259,0.43862105379081695,0.3878435408393026,0.48543268972356385,1,7,1,0.0070921985815602835,,,,
depth,ETTh1,MultiPatchFormer,96,test,48,3.0,0.28748532585714287,0.28748532585714287,0.0,7,0.5495508754080078,0.4352290151593739,0.7083282814251031,0.42544567984875953,0.3403327665754935,0.5256928507590731,1,7,2,0.014184397163120567,,,,
depth,ETTh1,MultiPatchFormer,96,test,72,1.0,0.18176298800000001,0.18176298800000001,0.0,7,0.32771775327519403,0.2760498365557876,0.3876068293441114,0.4717959908346741,0.3314110227988153,0.686184453140915,1,7,3,0.02127659574468085,,,,
depth,ETTh1,MultiPatchFormer,96,test,96,3.0,0.175664514,0.175664514,0.0,7,0.3232242661549109,0.24004154711791553,0.4700339909246652,0.45325771536197196,0.33858720748890847,0.6804387734372517,1,7,4,0.028368794326241134,,,,
depth,ETTh1,MultiPatchFormer,96,test,120,3.0,0.25654592242857144,0.25654592242857144,0.0,7,0.27395163791471805,0.1999179585101336,0.34529987683799307,0.4762496139654341,0.33553027426994225,0.6925471786065602,1,7,5,0.03546099290780142,,,,
depth,ETTh1,MultiPatchFormer,96,test,144,3.0,0.2785758288571429,0.2785758288571429,0.0,7,0.26207223620495024,0.18016391602038034,0.4361939309858093,0.5092410697516347,0.3469875031960407,0.6847416321461082,1,7,6,0.0425531914893617,,,,
depth,ETTh1,MultiPatchFormer,96,test,168,3.0,0.3141703635714285,0.3141703635714285,0.0,7,0.30589802879942946,0.20891020912315578,0.38856499080656764,0.47484969232529234,0.33610829877095505,0.625245679621327,1,7,7,0.04964539007092199,,,,
depth,ETTh1,MultiPatchFormer,96,test,192,5.0,0.33794921485714285,0.33794921485714285,0.0,7,0.3212456010773643,0.24835826897199573,0.4257278561815244,0.5226591749997306,0.38842945681283225,0.7004617328390684,1,7,8,0.05673758865248227,,,,
depth,ETTh1,MultiPatchFormer,96,test,216,5.0,0.5185755135714286,0.5185755135714286,0.0,7,0.34541333701176047,0.2754776932875426,0.42006858830852456,0.5199359219599246,0.4132852527439944,0.7160315057863653,1,7,9,0.06382978723404255,,,,
