channel,u_change,u_spectral,u_surprise,m_peak,m_band,channel_effective_rank,m_channel,U,M,dataset,segment,window_start,window_stop,unit_id,U_bucket,M_bucket
0,0.403585607884141,0.3465478216794738,0.6537793902404246,0.375,0.8549766405732198,0.9999999900000481,0.0,0.4679709399346798,0.40999221352440657,ETTh2,raw,0,96,raw:0:0,high,low
1,0.7082015618702304,0.3224084279617926,0.4832630129979645,0.125,0.8862666958342681,0.9999999900000481,0.0,0.5046243342766625,0.33708889861142266,ETTh2,raw,0,96,raw:0:1,high,low
2,0.36851411625049535,0.3259841825812497,0.6107871055058879,0.0,0.7822239885936063,0.9999999900000481,0.0,0.43509513477921097,0.2607413295312021,ETTh2,raw,0,96,raw:0:2,high,low
3,0.6382904965816414,0.25792596505090926,0.5431162759777671,0.375,0.8483562347755772,0.9999999900000481,0.0,0.4797775792034393,0.40778541159185905,ETTh2,raw,0,96,raw:0:3,high,low
4,0.8014583493919732,0.10689207906371202,0.23522267004830286,0.5,0.9048415338759008,0.9999999900000481,0.0,0.38119103283466266,0.46828051129196696,ETTh2,raw,0,96,raw:0:4,mid,mid
5,0.0,0.14272616120455123,0.39936817052903223,1.0,0.8187912641482673,0.9999999900000481,0.0,0.18069811057786114,0.6062637547160891,ETTh2,raw,0,96,raw:0:5,low,high
6,0.8106577546899765,0.36347951741733775,0.469425424658736,0.125,0.8716009827432232,0.9999999900000481,0.0,0.54785423225535,0.3322003275810744,ETTh2,raw,0,96,raw:0:6,high,low
0,0.5691680382655966,0.18649177049060103,0.528038977748011,0.75,0.8360897835924063,0.99999999000004,0.0,0.4278995955014029,0.5286965945308021,ETTh2,raw,24,120,raw:24:0,high,mid
1,0.7286064544711166,0.27781595067862486,0.1317347561848814,0.75,0.9676782892949166,0.99999999000004,0.0,0.3793857204448743,0.5725594297649722,ETTh2,raw,24,120,raw:24:1,mid,mid
2,0.5502984951251539,0.20525532219595866,0.4296444987783473,0.5,0.8595003814530184,0.99999999000004,0.0,0.3950661053664866,0.45316679381767283,ETTh2,raw,24,120,raw:24:2,mid,mid
3,0.636566555119663,0.27773568230406864,0.13694208795915833,0.5,0.9611222100322275,0.99999999000004,0.0,0.35041477512763003,0.4870407366774092,ETTh2,raw,24,120,raw:24:3,mid,mid
4,0.6585853089649565,0.22607141311454276,0.5514953301171756,0.25,0.9499373463831848,0.99999999000004,0.0,0.47871735073222493,0.39997911546106163,ETTh2,raw,24,120,raw:24:4,high,low
5,0.0,0.21877924204820634,1.0,1.0,0.8204545698560651,0.99999999000004,0.0,0.4062597473494021,0.6068181899520217,ETTh2,raw,24,120,raw:24:5,mid,high
