channel,u_change,u_spectral,u_surprise,m_peak,m_band,channel_effective_rank,m_channel,U,M,dataset,segment,window_start,window_stop,unit_id,U_bucket,M_bucket
0,0.6028601153441113,0.3174804102018096,0.22058465421540333,1.0,0.8241008642480517,1.0005749070633447,9.125508940531376e-06,0.38030839325377475,0.6080366632523307,Electricity,raw,0,168,raw:0:0,high,high
5,0.2787843104327503,0.10726257435700731,0.5303282456724833,0.25,0.5970299192620786,1.0005749070633447,9.125508940531376e-06,0.305458376820747,0.2823463482570064,Electricity,raw,0,168,raw:0:5,high,mid
10,0.2710761404283911,0.09441725712388786,0.46836424608329413,0.25,0.5460032161226749,1.0005749070633447,9.125508940531376e-06,0.27795254787852436,0.2653374472105385,Electricity,raw,0,168,raw:0:10,mid,mid
15,0.10402408291893772,0.07443267105228935,0.5194369160208123,0.375,0.6583311009508608,1.0005749070633447,9.125508940531376e-06,0.2326312233306798,0.3444467421532671,Electricity,raw,0,168,raw:0:15,mid,high
20,0.20006383739695188,0.1104894461128944,0.48428583411084347,0.375,0.7543000047324792,1.0005749070633447,9.125508940531376e-06,0.2649463725402299,0.37643637674713987,Electricity,raw,0,168,raw:0:20,mid,high
25,0.6772710742059109,0.0941484352257371,0.10808337457572958,0.375,0.7902203372548944,1.0005749070633447,9.125508940531376e-06,0.2931676280024592,0.3884098209212783,Electricity,raw,0,168,raw:0:25,high,high
30,0.045450397397803544,0.06870204468213026,0.49011432361076623,0.5,0.6378862826373277,1.0005749070633447,9.125508940531376e-06,0.20142225523023335,0.3792984693820894,Electricity,raw,0,168,raw:0:30,low,high
36,0.7906335095763963,0.11160042493758021,0.22394459126342703,0.375,0.7986426753425072,1.0005749070633447,9.125508940531376e-06,0.3753928419258012,0.3912172669504826,Electricity,raw,0,168,raw:0:36,high,high
41,0.20282435342549743,0.1509012037882213,0.27244096466528744,0.375,0.549581426040867,1.0005749070633447,9.125508940531376e-06,0.20872217395966874,0.3081968505166025,Electricity,raw,0,168,raw:0:41,low,mid
46,0.3665642954811138,0.09313391692359979,0.4303927989434782,0.375,0.6061197436646625,1.0005749070633447,9.125508940531376e-06,0.2966970037827306,0.327042956391201,Electricity,raw,0,168,raw:0:46,high,mid
51,0.0448416808860469,0.08741772206881901,0.5596098168297066,0.25,0.5453542630266981,1.0005749070633447,9.125508940531376e-06,0.23062307326152418,0.26512112951187955,Electricity,raw,0,168,raw:0:51,low,mid
56,0.04166972666124824,0.08613995623241123,0.4459420603245676,0.375,0.5920779344649131,1.0005749070633447,9.125508940531376e-06,0.19125058107274237,0.3223623533246179,Electricity,raw,0,168,raw:0:56,low,mid
61,0.2853688516752606,0.08542554042734404,0.48595627790356866,0.25,0.5482014557769997,1.0005749070633447,9.125508940531376e-06,0.2855835566687244,0.2660701937619801,Electricity,raw,0,168,raw:0:61,mid,mid
66,0.12733778011190133,0.08893145057887865,0.4975324922422247,0.5,0.686837495039818,1.0005749070633447,9.125508940531376e-06,0.2379339076443349,0.3956155401829195,Electricity,raw,0,168,raw:0:66,mid,high
