channel,u_change,u_spectral,u_surprise,m_peak,m_band,channel_effective_rank,m_channel,U,M,dataset,segment,window_start,window_stop,unit_id,U_bucket,M_bucket
0,0.9115947745553358,0.07164614641671585,0.6587400091968921,0.0,0.667218479804962,1.4992135013880505,0.08320225009267133,0.5473269767229813,0.2501402432992111,ILI,raw,0,48,raw:0:0,high,mid
1,0.936861773448747,0.08409818541167002,0.6141013291588817,0.0,0.6986182215353542,1.4992135013880505,0.08320225009267133,0.5450204293397662,0.26060682387600853,ILI,raw,0,48,raw:0:1,high,mid
2,0.9373484998146239,0.050117943794712516,0.5711221024225079,0.125,0.6726057490513615,1.4992135013880505,0.08320225009267133,0.5195295153439481,0.2936026663813443,ILI,raw,0,48,raw:0:2,high,mid
3,0.9629133492981933,0.06841358650641992,0.9113302075115679,0.125,0.7286548735675865,1.4992135013880505,0.08320225009267133,0.6475523811053937,0.31228570788675264,ILI,raw,0,48,raw:0:3,high,mid
4,0.9643975710409592,0.04684958263309129,0.8279188730471663,0.125,0.6825513841020424,1.4992135013880505,0.08320225009267133,0.6130553422404056,0.2969178780649046,ILI,raw,0,48,raw:0:4,high,mid
5,0.9913965024707319,0.11950163262096727,0.2850089241825763,0.0,0.53138371151327,1.4992135013880505,0.08320225009267133,0.46530235309142515,0.20486198720198046,ILI,raw,0,48,raw:0:5,high,low
6,0.9895958191324719,0.17764695980584472,0.42170409265841596,0.125,0.6900005796951096,1.4992135013880505,0.08320225009267133,0.5296489571989108,0.29940094326259364,ILI,raw,0,48,raw:0:6,high,mid
0,0.9397095679848377,0.12497225886250209,0.12955245159849857,0.25,0.8176537658661136,1.3117275003401125,0.05195458330342779,0.39807809281527945,0.37320278305651383,ILI,raw,4,52,raw:4:0,mid,high
1,0.9709395145102688,0.13922033641418943,0.15225702002127225,0.25,0.7702305928813971,1.3117275003401125,0.05195458330342779,0.4208056236485769,0.357395058728275,ILI,raw,4,52,raw:4:1,mid,high
2,0.9808614872459154,0.034052724359702455,0.158362949652736,0.125,0.7310185081175414,1.3117275003401125,0.05195458330342779,0.391092387086118,0.3026576971403231,ILI,raw,4,52,raw:4:2,mid,mid
3,0.9762514397584668,0.05023770864836623,0.2751614244997565,0.125,0.7549426244402344,1.3117275003401125,0.05195458330342779,0.4338835243021965,0.31063240258122077,ILI,raw,4,52,raw:4:3,mid,mid
4,0.9926503522098008,0.030433209652465227,0.27096496047624646,0.125,0.7292537753862427,1.3117275003401125,0.05195458330342779,0.43134950744617084,0.30206945289655684,ILI,raw,4,52,raw:4:4,mid,mid
5,0.9980536393861655,0.04934275654035486,0.26632208123273576,0.0,0.7622024387414016,1.3117275003401125,0.05195458330342779,0.43790615905308544,0.2713856740149431,ILI,raw,4,52,raw:4:5,mid,mid
6,0.9993584533218819,0.12694750001511418,0.3077714778511636,0.25,0.8260907810310035,1.3117275003401125,0.05195458330342779,0.47802581039605324,0.3760151214448105,ILI,raw,4,52,raw:4:6,high,high
0,0.9362328912770479,0.0705096042221356,0.025263652004676708,0.25,0.8621297771013582,1.5343662280645864,0.08906103786232934,0.3440020491679534,0.4003969383212292,ILI,raw,8,56,raw:8:0,low,high
1,0.9388259850665115,0.09009563013365382,0.027134341106026052,0.25,0.8174007320096961,1.5343662280645864,0.08906103786232934,0.3520186521020638,0.38548725662400846,ILI,raw,8,56,raw:8:1,mid,high
2,0.9682398201394345,0.16433917390128636,0.01845971043142662,0.125,0.7641471037409259,1.5343662280645864,0.08906103786232934,0.3836795681573825,0.3260693805344184,ILI,raw,8,56,raw:8:2,mid,high
3,0.9697984285421984,0.09206493366967976,0.15281212110394182,0.25,0.7747066570776727,1.5343662280645864,0.08906103786232934,0.40489182777194,0.37125589831333405,ILI,raw,8,56,raw:8:3,mid,high
4,0.9845501323316306,0.14098160595335357,0.06854601721754963,0.125,0.782040794327297,1.5343662280645864,0.08906103786232934,0.39802591850084457,0.3320339440632088,ILI,raw,8,56,raw:8:4,mid,high
5,0.9913238099219355,0.25370369350852184,0.19434409313867532,0.125,0.8504176536219307,1.5343662280645864,0.08906103786232934,0.47979053218971085,0.35482623049475337,ILI,raw,8,56,raw:8:5,high,high
6,0.9966991598063153,0.1483298786374525,0.2851224756712845,0.125,0.8847978763057063,1.5343662280645864,0.08906103786232934,0.47671717137168407,0.36628630472267854,ILI,raw,8,56,raw:8:6,high,high
0,0.9269332100396337,0.1500299161079472,0.04756298622489542,0.0,0.5740925158314901,1.251512410745823,0.04191873505443929,0.3748420374574921,0.20533708362864314,ILI,raw,12,60,raw:12:0,mid,low
1,0.9101437471304428,0.1545682748661807,0.01835107366385463,0.0,0.6546137969292393,1.251512410745823,0.04191873505443929,0.36102103188682605,0.2321775106612262,ILI,raw,12,60,raw:12:1,mid,mid
2,0.9625913653499225,0.14883987332245158,0.0622583195965278,0.0,0.6142485449232898,1.251512410745823,0.04191873505443929,0.3912298527563007,0.21872242665924305,ILI,raw,12,60,raw:12:2,mid,low
3,0.9597412713745329,0.16598459311684832,0.12174138487100548,0.0,0.7467119528545583,1.251512410745823,0.04191873505443929,0.4158224164541289,0.26287689596966585,ILI,raw,12,60,raw:12:3,mid,mid
4,0.98043778701369,0.17347790660153428,0.0704103839817851,0.125,0.6819839359644122,1.251512410745823,0.04191873505443929,0.4081086925323365,0.28296755700628384,ILI,raw,12,60,raw:12:4,mid,mid
5,0.9758462748502827,0.049382751169774725,0.007504199296778576,0.0,0.5636034585773246,1.251512410745823,0.04191873505443929,0.3442444084389453,0.201840731210588,ILI,raw,12,60,raw:12:5,low,low
6,0.9896287493115141,0.04186596626495234,0.09586168451061591,0.0,0.6116349596431337,1.251512410745823,0.04191873505443929,0.3757854666956941,0.2178512315658577,ILI,raw,12,60,raw:12:6,mid,low
0,0.40642273813505736,0.034378854019322204,0.12275761103765835,0.0,0.5733075955680103,1.1114606524331225,0.01857677537455913,0.1878530677306793,0.1972947903141898,ILI,raw,16,64,raw:16:0,low,low
1,0.2587215668239521,0.04230853489807887,0.16182454544519284,0.0,0.6200225181344525,1.1114606524331225,0.01857677537455913,0.1542848823890746,0.21286643116967055,ILI,raw,16,64,raw:16:1,low,low
2,0.3107358207634795,0.04134193746481696,0.2699421133540114,0.0,0.6605339042745547,1.1114606524331225,0.01857677537455913,0.20733995719410261,0.22637022654970462,ILI,raw,16,64,raw:16:2,low,mid
3,0.20803395138256175,0.0347658835617614,0.3287299199578592,0.0,0.6019557670185097,1.1114606524331225,0.01857677537455913,0.19050991830072747,0.20684418079768963,ILI,raw,16,64,raw:16:3,low,low
4,0.1392826209076392,0.03423130424484633,0.3005160488322646,0.0,0.6306218956031432,1.1114606524331225,0.01857677537455913,0.15800999132825005,0.21639955699256744,ILI,raw,16,64,raw:16:4,low,low
5,0.5639137173068065,0.10202578578187299,0.10855585971331125,0.0,0.3277736265978779,1.1114606524331225,0.01857677537455913,0.2581651209339969,0.11545013399081235,ILI,raw,16,64,raw:16:5,low,low
6,0.49858089487947865,0.10871411648276147,0.008878070145686326,0.0,0.3497716607060014,1.1114606524331225,0.01857677537455913,0.20539102716930882,0.12278281202685352,ILI,raw,16,64,raw:16:6,low,low
0,0.8253515816748316,0.07373122355940634,0.23133823463496206,0.0,0.7088066909942591,1.2282614190342946,0.03804356977564316,0.3768070132897334,0.24895008692330076,ILI,raw,20,68,raw:20:0,mid,mid
1,0.7894719105629306,0.07519196428541544,0.23214907709775304,0.0,0.7705203123968106,1.2282614190342946,0.03804356977564316,0.3656043173153664,0.2695212940574846,ILI,raw,20,68,raw:20:1,mid,mid
2,0.9061366682101022,0.0707091117295913,0.11626644650447501,0.0,0.7436197741268972,1.2282614190342946,0.03804356977564316,0.36437074214805615,0.2605544479675134,ILI,raw,20,68,raw:20:2,mid,mid
3,0.8986976580634831,0.046741565983662525,0.0032084631829420087,0.0,0.816441668003844,1.2282614190342946,0.03804356977564316,0.31621589574336256,0.2848284125931624,ILI,raw,20,68,raw:20:3,low,mid
4,0.9114632707173227,0.06193499068216985,0.026446585147288405,0.0,0.7477941933124517,1.2282614190342946,0.03804356977564316,0.33328161551559365,0.2619459210293649,ILI,raw,20,68,raw:20:4,low,mid
5,0.8005093023081797,0.04670017446644064,0.022711925554384223,0.0,0.34203672097476095,1.2282614190342946,0.03804356977564316,0.28997380077633483,0.12669343025013471,ILI,raw,20,68,raw:20:5,low,low
6,0.46147539915682434,0.038799594743907324,0.009303931448096558,0.0,0.5466282450212375,1.2282614190342946,0.03804356977564316,0.16985964178294277,0.19489060493229357,ILI,raw,20,68,raw:20:6,low,low
0,0.9220075559118651,0.07668898570851099,0.5170321434216008,0.125,0.8293057759641882,1.2403819223883321,0.04006365366461593,0.5052428950139923,0.3314564765429347,ILI,raw,24,72,raw:24:0,high,high
1,0.9440631025776094,0.0665815238192595,0.2188119186439118,0.125,0.8183715958536046,1.2403819223883321,0.04006365366461593,0.40981884834692694,0.32781174983940686,ILI,raw,24,72,raw:24:1,mid,high
2,0.9651479504794704,0.04999403800067468,0.44426110784632317,0.125,0.8227720035220285,1.2403819223883321,0.04006365366461593,0.48646769877548945,0.32927855239554815,ILI,raw,24,72,raw:24:2,high,high
3,0.9733445682241669,0.035418557661531236,0.46427952023701957,0.25,0.8454233489998888,1.2403819223883321,0.04006365366461593,0.4910142153742392,0.37849566755483494,ILI,raw,24,72,raw:24:3,high,high
4,0.9731025167816699,0.05051764297414644,0.4629880630264149,0.125,0.8179686228248011,1.2403819223883321,0.04006365366461593,0.49553607426074375,0.32767742549647233,ILI,raw,24,72,raw:24:4,high,high
5,0.9797566186540636,0.01926738066759978,0.5429459635056102,0.0,0.6485924484899741,1.2403819223883321,0.04006365366461593,0.5139899876090912,0.22955203405153002,ILI,raw,24,72,raw:24:5,high,mid
6,0.9864357991961273,0.06222101336010033,0.5134155689349108,0.0,0.773630698109815,1.2403819223883321,0.04006365366461593,0.5206907938303794,0.27123145059147696,ILI,raw,24,72,raw:24:6,high,mid
0,0.9329442059087123,0.05215001731069149,0.4553750210363954,0.125,0.762453862669289,1.2156116160541561,0.03593526928246724,0.48015641475193305,0.3077963773172521,ILI,raw,28,76,raw:28:0,high,mid
1,0.9692859812396133,0.061721906098766925,0.4604222724825208,0.125,0.7674068310078388,1.2156116160541561,0.03593526928246724,0.497143386606967,0.30944736676343537,ILI,raw,28,76,raw:28:1,high,mid
2,0.9835330208207461,0.0590118095540705,0.5143562397765565,0.25,0.8013474090076833,1.2156116160541561,0.03593526928246724,0.518967023383791,0.3624275594300502,ILI,raw,28,76,raw:28:2,high,high
3,0.9801179743161071,0.03260898349057074,0.48426546420729827,0.125,0.8325038114163368,1.2156116160541561,0.03593526928246724,0.49899747400465877,0.3311463602329347,ILI,raw,28,76,raw:28:3,high,high
4,0.9903967041675033,0.05378267855419541,0.49305909233805617,0.25,0.7886556135274864,1.2156116160541561,0.03593526928246724,0.5124128250199184,0.35819696093665127,ILI,raw,28,76,raw:28:4,high,high
5,0.9966513034443039,0.04884686948107819,0.5333544568896551,0.25,0.8029941040157453,1.2156116160541561,0.03593526928246724,0.5262842099383457,0.36297645776607085,ILI,raw,28,76,raw:28:5,high,high
6,0.9994499970256719,0.09309297887095365,0.5140094957344282,0.375,0.8400803523363503,1.2156116160541561,0.03593526928246724,0.5355174905436847,0.4170052072062725,ILI,raw,28,76,raw:28:6,high,high
0,0.9321348717322552,0.0220913613819474,0.4066381646998552,0.125,0.7412722741324804,1.2232414663160234,0.037206910990659044,0.4536214659380193,0.3011597283743798,ILI,raw,32,80,raw:32:0,high,mid
1,0.9440828845528939,0.031427495653196344,0.4503794975278702,0.125,0.7625642621252051,1.2232414663160234,0.037206910990659044,0.4752966259113201,0.30825705770528805,ILI,raw,32,80,raw:32:1,high,mid
2,0.9830746391745048,0.04590063584188493,0.4067020165241538,0.25,0.7653421244419712,1.2232414663160234,0.037206910990659044,0.47855909718018114,0.35084967847754345,ILI,raw,32,80,raw:32:2,high,high
3,0.9797117596463103,0.025474764114390296,0.4086641051946545,0.125,0.8086962613717065,1.2232414663160234,0.037206910990659044,0.4712835429851183,0.3236343907874552,ILI,raw,32,80,raw:32:3,high,high
4,0.9899203831301139,0.028222881405508903,0.40997942811035515,0.125,0.7587444982710543,1.2232414663160234,0.037206910990659044,0.47604089754865936,0.30698380308723777,ILI,raw,32,80,raw:32:4,high,mid
5,0.9964821605862823,0.01917756912623602,0.03603108431968645,0.0,0.782595412763381,1.2232414663160234,0.037206910990659044,0.3505636046774016,0.27326744125134667,ILI,raw,32,80,raw:32:5,mid,mid
6,0.9976056108641271,0.07666586607823503,0.03841990031195973,0.25,0.8400114977643927,1.2232414663160234,0.037206910990659044,0.3708971257514406,0.3757394695850172,ILI,raw,32,80,raw:32:6,mid,high
0,0.8851532950142416,0.07548347064513111,0.7852397825076554,0.0,0.6831947440153243,1.251855116806105,0.041975852731057736,0.5819588493890093,0.24172353224879403,ILI,raw,36,84,raw:36:0,high,mid
1,0.8680882991480048,0.09711325235326101,0.8464361730696455,0.0,0.7256573480570926,1.251855116806105,0.041975852731057736,0.603879241523637,0.2558777335960501,ILI,raw,36,84,raw:36:1,high,mid
2,0.9802633369314089,0.08885597515519081,0.1772300309506178,0.0,0.7150825960621148,1.251855116806105,0.041975852731057736,0.4154497810124058,0.2523528162643908,ILI,raw,36,84,raw:36:2,mid,mid
3,0.9680343357352611,0.0724479766348609,0.955384448847143,0.0,0.7739386595684005,1.251855116806105,0.041975852731057736,0.6652889204057549,0.2719715040998194,ILI,raw,36,84,raw:36:3,high,mid
4,0.985522647730917,0.0879614934257442,0.8066469418379908,0.0,0.7139366423334875,1.251855116806105,0.041975852731057736,0.6267103609982173,0.25197083168818174,ILI,raw,36,84,raw:36:4,high,mid
5,0.9811386346567983,0.049255411421740045,0.02000001563815588,0.0,0.5368828797250228,1.251855116806105,0.041975852731057736,0.35013135390556477,0.1929529108186935,ILI,raw,36,84,raw:36:5,mid,low
6,0.9979814812518006,0.12736062732409284,0.045443724313470574,0.125,0.6225541526148325,1.251855116806105,0.041975852731057736,0.3902619442964547,0.2631766684486301,ILI,raw,36,84,raw:36:6,mid,mid
0,0.17115825199259205,0.046944794101780055,0.9595929675793978,0.0,0.6618774656857362,1.262164050464474,0.04369400833792232,0.39256533789125664,0.23519049134121953,ILI,raw,40,88,raw:40:0,mid,mid
1,0.30691046617570483,0.06251906991606868,0.9555861951454419,0.0,0.7060442618882466,1.262164050464474,0.04369400833792232,0.4416719104124051,0.24991275674205635,ILI,raw,40,88,raw:40:1,high,mid
2,0.2730003176435599,0.05390649873073129,0.9176982380241787,0.0,0.6777187039223377,1.262164050464474,0.04369400833792232,0.41486835146615664,0.24047090408675334,ILI,raw,40,88,raw:40:2,mid,mid
3,0.23817129648054802,0.07578574781067046,0.9974338657727035,0.0,0.7613437948771925,1.262164050464474,0.04369400833792232,0.4371303033546407,0.2683459344050383,ILI,raw,40,88,raw:40:3,mid,mid
4,0.3421436152791072,0.04203479036745576,0.9949558751171701,0.0,0.6896951948489398,1.262164050464474,0.04369400833792232,0.45971142692124434,0.24446306772895407,ILI,raw,40,88,raw:40:4,high,mid
5,0.5736497107552747,0.1355579568097873,0.022526715284790975,0.0,0.31547452026169026,1.262164050464474,0.04369400833792232,0.243911460949951,0.11972284286653752,ILI,raw,40,88,raw:40:5,low,low
6,0.71024246174867,0.08844317782758986,0.2180393804824571,0.0,0.4817125228032407,1.262164050464474,0.04369400833792232,0.3389083400195723,0.17513551038038766,ILI,raw,40,88,raw:40:6,low,low
0,0.8710163012146341,0.21128294768959544,0.9947136436656377,0.0,0.6953878425946475,1.2653551103652985,0.04422585165383999,0.6923376308566224,0.24653789808282914,ILI,raw,44,92,raw:44:0,high,mid
1,0.8653354765944932,0.16386146387528988,0.9999690835865522,0.0,0.7304165024496829,1.2653551103652985,0.04422585165383999,0.6763886746854452,0.2582141180345076,ILI,raw,44,92,raw:44:1,high,mid
2,0.8467324303936563,0.0673214350043924,0.976932115090569,0.0,0.7142370868602642,1.2653551103652985,0.04422585165383999,0.6303286601628725,0.2528209795047014,ILI,raw,44,92,raw:44:2,high,mid
3,0.8796507922484054,0.0387811880016245,0.9332146655445416,0.0,0.7959436756102867,1.2653551103652985,0.04422585165383999,0.6172155485981904,0.2800565090880422,ILI,raw,44,92,raw:44:3,high,mid
4,0.8559815613181965,0.06997992396180894,0.8982605456644931,0.0,0.7256807582750637,1.2653551103652985,0.04422585165383999,0.6080740103148329,0.2566355366429679,ILI,raw,44,92,raw:44:4,high,mid
5,0.6807652852773465,0.04316341084023194,0.05679941952376205,0.0,0.35763980188110595,1.2653551103652985,0.04422585165383999,0.2602427052137801,0.133955217844982,ILI,raw,44,92,raw:44:5,low,low
6,0.3245368341431808,0.038598680945175046,0.5702215725443943,0.0,0.5451703787909548,1.2653551103652985,0.04422585165383999,0.3111190292109167,0.1964654101482649,ILI,raw,44,92,raw:44:6,low,low
0,0.9504580309191609,0.0811747199151312,0.07646548482783318,0.125,0.7529178164047984,1.255911528233843,0.04265192130122065,0.3693660785540418,0.30685657923533965,ILI,raw,48,96,raw:48:0,mid,mid
1,0.9525131504197994,0.057408958419396715,0.08399973661260476,0.125,0.7702392337007898,1.255911528233843,0.04265192130122065,0.3646406151506003,0.31263038500067014,ILI,raw,48,96,raw:48:1,mid,mid
2,0.8955744316771249,0.05870729589695586,0.14311908018770694,0.125,0.7892256907713384,1.255911528233843,0.04265192130122065,0.3658002692539293,0.31895920402418637,ILI,raw,48,96,raw:48:2,mid,mid
3,0.9241034025092277,0.01799991435098653,0.013713119275669051,0.125,0.8448116194517513,1.255911528233843,0.04265192130122065,0.31860547871196115,0.3374878469176574,ILI,raw,48,96,raw:48:3,low,high
4,0.919635494633128,0.01967088003049569,0.016995232054837547,0.125,0.7930737260092293,1.255911528233843,0.04265192130122065,0.31876720223948707,0.32024188243681667,ILI,raw,48,96,raw:48:4,low,high
5,0.8893206133680269,0.056789847472806215,0.040916670003513025,0.0,0.6132169230792068,1.255911528233843,0.04265192130122065,0.32900904361478206,0.21862294812680916,ILI,raw,48,96,raw:48:5,low,low
6,0.6532908114341962,0.051628036485304535,0.13715586514103856,0.0,0.7735653504821827,1.255911528233843,0.04265192130122065,0.2806915710201798,0.2720724239278011,ILI,raw,48,96,raw:48:6,low,mid
0,0.9686089596922841,0.03234857061098787,0.11218932725107468,0.125,0.7478909814425404,1.2062693267111437,0.03437822106122692,0.3710489525181156,0.30242306750125575,ILI,raw,52,100,raw:52:0,mid,mid
1,0.957537892578688,0.049095487548423786,0.13682299967073397,0.125,0.7419128500025948,1.2062693267111437,0.03437822106122692,0.38115212659928194,0.3004303570212739,ILI,raw,52,100,raw:52:1,mid,mid
2,0.9400829444286087,0.04384127878401109,0.05978697780255854,0.25,0.7588507577499013,1.2062693267111437,0.03437822106122692,0.3479037336717261,0.34774299293704275,ILI,raw,52,100,raw:52:2,low,high
3,0.9631121513359843,0.029823135939342788,0.03684986065160611,0.25,0.8041008662365942,1.2062693267111437,0.03437822106122692,0.34326171597564437,0.36282636243260696,ILI,raw,52,100,raw:52:3,low,high
4,0.9500473913346416,0.034187110332911545,0.04613057836675992,0.125,0.7542278799534291,1.2062693267111437,0.03437822106122692,0.3434550266781043,0.3045353670048853,ILI,raw,52,100,raw:52:4,low,mid
5,0.9397145838077328,0.06578620163754884,0.07881144100347989,0.0,0.7177146724926238,1.2062693267111437,0.03437822106122692,0.3614374088162538,0.2506976311846169,ILI,raw,52,100,raw:52:5,mid,mid
6,0.8863740525944838,0.33814508516326475,0.31414248050212534,0.375,0.8695163129457804,1.2062693267111437,0.03437822106122692,0.5128872060866246,0.42629817800233577,ILI,raw,52,100,raw:52:6,high,high
0,0.9727271145754001,0.04752088731408026,0.00837866944936783,0.125,0.8343565743688284,1.2361654907345705,0.039360915056826894,0.3428755571129494,0.33290582980855177,ILI,raw,56,104,raw:56:0,low,high
1,0.9453050932924605,0.04757097577958588,0.025976849471311025,0.125,0.839613982040807,1.2361654907345705,0.039360915056826894,0.3396176395144525,0.3346582990325446,ILI,raw,56,104,raw:56:1,low,high
2,0.9744480055784328,0.061677912393646755,0.03668146682736058,0.125,0.8329397264235767,1.2361654907345705,0.039360915056826894,0.3576024615998134,0.33243354716013457,ILI,raw,56,104,raw:56:2,mid,high
3,0.9701339058965817,0.045710182437157104,0.010259134271483818,0.125,0.8709515005332802,1.2361654907345705,0.039360915056826894,0.34203440753507414,0.3451041385300357,ILI,raw,56,104,raw:56:3,low,high
4,0.9735307882135059,0.056823727057764964,0.015351468485902596,0.125,0.8375094082719505,1.2361654907345705,0.039360915056826894,0.3485686612523912,0.33395677444292576,ILI,raw,56,104,raw:56:4,mid,high
5,0.9768943101152966,0.07159900991127718,0.10800605832130733,0.125,0.9088402119421949,1.2361654907345705,0.039360915056826894,0.3854997927826271,0.35773370899967394,ILI,raw,56,104,raw:56:5,mid,high
6,0.9019912916608723,0.4882229643834558,0.20275790957777082,0.5,0.8808663887443395,1.2361654907345705,0.039360915056826894,0.530990721874033,0.47340910126705543,ILI,raw,56,104,raw:56:6,high,high
0,0.9289733550873348,0.08217151186380613,0.05479556778953462,0.0,0.7071347537701455,1.23650579701148,0.03941763276955059,0.35531347824689186,0.248850795513232,ILI,raw,60,108,raw:60:0,mid,mid
1,0.9107806314167246,0.07238342866683686,0.08172052812970496,0.0,0.7240836068584902,1.23650579701148,0.03941763276955059,0.35496152940442216,0.2545004132093469,ILI,raw,60,108,raw:60:1,mid,mid
2,0.9728812612533948,0.07473180816831665,0.026857398760007218,0.0,0.7551433681042535,1.23650579701148,0.03941763276955059,0.35815682272723953,0.2648536669579347,ILI,raw,60,108,raw:60:2,mid,mid
3,0.9552645228919064,0.045104896940317586,0.05632139819267952,0.0,0.8218464886709383,1.23650579701148,0.03941763276955059,0.3522302726749678,0.28708804048016295,ILI,raw,60,108,raw:60:3,mid,mid
4,0.9638076177106664,0.06438158089322497,0.049704903511100566,0.0,0.7578538040471722,1.23650579701148,0.03941763276955059,0.35929803403833066,0.26575714560557423,ILI,raw,60,108,raw:60:4,mid,mid
5,0.9650929448893776,0.12871685893276963,0.051501759531314154,0.0,0.8736321112312613,1.23650579701148,0.03941763276955059,0.38177052111782045,0.3043499146669373,ILI,raw,60,108,raw:60:5,mid,mid
6,0.9074016210697661,0.16232971910438085,0.19109943022104992,0.0,0.9180336819883022,1.23650579701148,0.03941763276955059,0.4202769234650656,0.3191504382526176,ILI,raw,60,108,raw:60:6,mid,mid
0,0.7727827791184437,0.12608531352597138,0.21548207138805636,0.0,0.8939075970552042,1.2268167748860528,0.03780279575133747,0.37145005467749054,0.3105701309355139,ILI,raw,64,112,raw:64:0,mid,mid
1,0.5808670288075358,0.08942627657272792,0.29014376602016667,0.0,0.933771953135418,1.2268167748860528,0.03780279575133747,0.32014569046681013,0.3238582496289185,ILI,raw,64,112,raw:64:1,low,high
2,0.942761964275439,0.12945930422627244,0.1102482410607039,0.0,0.7774911600350581,1.2268167748860528,0.03780279575133747,0.3941565031874718,0.27176465192879856,ILI,raw,64,112,raw:64:2,mid,mid
3,0.8949491622887727,0.1342841289593346,0.08217760459348745,0.0,0.7022750869808151,1.2268167748860528,0.03780279575133747,0.3704702986138649,0.2466926275773842,ILI,raw,64,112,raw:64:3,mid,mid
4,0.928290295210162,0.10825030646991529,0.10523110170366977,0.0,0.7413927549651671,1.2268167748860528,0.03780279575133747,0.3805905677945824,0.2597318502388349,ILI,raw,64,112,raw:64:4,mid,mid
5,0.9428693449823842,0.023847807948295573,0.01026841475158402,0.0,0.595360266135418,1.2268167748860528,0.03780279575133747,0.3256618558940879,0.21105435396225183,ILI,raw,64,112,raw:64:5,low,low
6,0.8608132658891599,0.04994841069077023,0.027984718613066333,0.0,0.6396010696311473,1.2268167748860528,0.03780279575133747,0.31291546506433215,0.22580128846082825,ILI,raw,64,112,raw:64:6,low,mid
0,0.16778841208076312,0.055143123986264045,0.20528799168694747,0.0,0.38838954676433496,1.291431967899991,0.048571994569045186,0.14273984258465822,0.14565384711112672,ILI,raw,68,116,raw:68:0,low,low
1,0.4436198262759047,0.06152998825071819,0.6749106509031308,0.0,0.4876661936523261,1.291431967899991,0.048571994569045186,0.3933534884765846,0.1787460627404571,ILI,raw,68,116,raw:68:1,mid,low
2,0.6507950075233728,0.06333786173350472,0.19400081990149787,0.0,0.29313424658941845,1.291431967899991,0.048571994569045186,0.30271122971945846,0.11390208038615456,ILI,raw,68,116,raw:68:2,low,low
3,0.34881516995733897,0.06252342017247436,0.015215339332231728,0.0,0.2845578030280871,1.291431967899991,0.048571994569045186,0.14218464315401502,0.11104326586571077,ILI,raw,68,116,raw:68:3,low,low
