channel,u_change,u_spectral,u_surprise,m_peak,m_band,channel_effective_rank,m_channel,U,M,dataset,segment,window_start,window_stop,unit_id,U_bucket,M_bucket
0,0.9736668235668408,0.5892491231004178,0.20550830023619102,0.0,0.5171210703249309,1.0294690241611695,0.0014734512073217483,0.5894747489678166,0.1728648405107509,Weather,raw,0,144,raw:0:0,high,low
1,0.681019609489119,0.009744017668130076,0.0939229712699304,0.125,0.5139008211313263,1.0294690241611695,0.0014734512073217483,0.2615621994757265,0.21345809077954936,Weather,raw,0,144,raw:0:1,low,mid
2,0.6947509233756596,0.008945099751794208,0.09281728811364416,0.125,0.5110144271414214,1.0294690241611695,0.0014734512073217483,0.26550443708036603,0.21249595944958108,Weather,raw,0,144,raw:0:2,low,mid
3,0.5788211726362416,0.011975385546545167,0.19629926837345724,0.125,0.5841842670782372,1.0294690241611695,0.0014734512073217483,0.262365275518748,0.23688590609518634,Weather,raw,0,144,raw:0:3,low,mid
4,0.7946558550500733,0.01038627562045286,0.12272624642648301,0.125,0.4943379213919757,1.0294690241611695,0.0014734512073217483,0.30925612569900307,0.20693712419976582,Weather,raw,0,144,raw:0:4,mid,mid
5,0.7270997998437765,0.010112993609809509,0.103623643842952,0.125,0.5133600347766847,1.0294690241611695,0.0014734512073217483,0.28027881243217934,0.2132778286613355,Weather,raw,0,144,raw:0:5,low,mid
6,0.6042461560844345,0.009959334868952657,0.20579408625971196,0.125,0.5775659801892365,1.0294690241611695,0.0014734512073217483,0.2733331924043664,0.23467981046551945,Weather,raw,0,144,raw:0:6,low,mid
7,0.8179299872178996,0.01572166889004723,0.14606483828740668,0.125,0.5028624388102446,1.0294690241611695,0.0014734512073217483,0.32657216479845114,0.20977863000585548,Weather,raw,0,144,raw:0:7,mid,mid
8,0.5997268176224002,0.009829396898407894,0.21321446994347748,0.125,0.5752414233301608,1.0294690241611695,0.0014734512073217483,0.2742568948214285,0.23390495817916088,Weather,raw,0,144,raw:0:8,low,mid
9,0.6081810165962847,0.009117081626833133,0.2003629897725825,0.125,0.5752919211955784,1.0294690241611695,0.0014734512073217483,0.27255369599856677,0.23392179080096673,Weather,raw,0,144,raw:0:9,low,mid
10,0.7187806318305512,0.007209341248257319,0.0808539090208695,0.125,0.5044274511598718,1.0294690241611695,0.0014734512073217483,0.2689479606998927,0.2103003007890645,Weather,raw,0,144,raw:0:10,low,mid
11,0.2570351531075413,0.2836300486074145,0.512645228099168,1.0,0.8994619189282774,1.0294690241611695,0.0014734512073217483,0.3511034766047079,0.6336451233785331,Weather,raw,0,144,raw:0:11,mid,high
12,0.225734130621274,0.26476805598404685,0.5017527428371905,1.0,0.9574706051166745,1.0294690241611695,0.0014734512073217483,0.33075164314750377,0.6529813521079987,Weather,raw,0,144,raw:0:12,mid,high
13,0.25824507800596785,0.3145427005574697,0.5025941384102384,1.0,0.77198234002809,1.0294690241611695,0.0014734512073217483,0.35846063899122527,0.5911519304118039,Weather,raw,0,144,raw:0:13,mid,high
14,0.0,0.0,0.0,0.0,-0.0,1.0294690241611695,0.0014734512073217483,0.0,0.0004911504024405828,Weather,raw,0,144,raw:0:14,low,low
15,0.0,0.0,0.0,0.0,-0.0,1.0294690241611695,0.0014734512073217483,0.0,0.0004911504024405828,Weather,raw,0,144,raw:0:15,low,low
16,0.0,0.011626496827443527,0.018107066800545524,0.0,0.45878948891340676,1.0294690241611695,0.0014734512073217483,0.00991118787599635,0.15342098004024282,Weather,raw,0,144,raw:0:16,low,low
17,0.0,0.005226823160861684,0.013944725796683138,0.0,0.42405788457898125,1.0294690241611695,0.0014734512073217483,0.006390516319181607,0.14184377859543432,Weather,raw,0,144,raw:0:17,low,low
18,0.0,0.005311365051819382,0.001039790122735889,0.0,0.4176779840879304,1.0294690241611695,0.0014734512073217483,0.002117051724851757,0.13971714509841737,Weather,raw,0,144,raw:0:18,low,low
19,0.7522260408833155,0.006323690356786027,0.019171751329561997,0.125,0.49249231655121745,1.0294690241611695,0.0014734512073217483,0.2592404941898878,0.20632192258617973,Weather,raw,0,144,raw:0:19,low,mid
20,0.31170307351459503,0.17698892687950568,0.687632683078376,0.25,0.7423064890470964,1.0294690241611695,0.0014734512073217483,0.39210822782415894,0.33125998008480606,Weather,raw,0,144,raw:0:20,high,high
0,0.9149956196713298,0.1824529126244832,0.004063367760682479,0.375,0.7932442974680864,1.0305865681458497,0.001529328406527821,0.36717063335216515,0.38992454195820475,Weather,raw,72,216,raw:72:0,high,high
1,0.9243528332522027,0.22539098176822667,0.02806946473822303,0.0,0.6045671393937552,1.0305865681458497,0.001529328406527821,0.39260442658621747,0.2020321559334277,Weather,raw,72,216,raw:72:1,high,mid
2,0.9238292891548622,0.22723253408695593,0.029754705591974396,0.0,0.6082495893659704,1.0305865681458497,0.001529328406527821,0.3936055096112642,0.20325963925749943,Weather,raw,72,216,raw:72:2,high,mid
3,0.897022652448041,0.060741954413950576,0.05287643879511289,0.0,0.771282661289101,1.0305865681458497,0.001529328406527821,0.33688034855236815,0.2576039965652096,Weather,raw,72,216,raw:72:3,mid,mid
4,0.8449058375583154,0.26894950034715065,0.006020176188669836,0.0,0.5025990266917194,1.0305865681458497,0.001529328406527821,0.3732918380313786,0.16804278503274908,Weather,raw,72,216,raw:72:4,high,low
5,0.9385498743590994,0.21754908047738647,0.021068542683335547,0.0,0.6000978271251278,1.0305865681458497,0.001529328406527821,0.3923891658399405,0.20054238517721856,Weather,raw,72,216,raw:72:5,high,mid
6,0.916457683357553,0.08244223784152563,0.04465366842547584,0.125,0.71140506795781,1.0305865681458497,0.001529328406527821,0.34785119654151814,0.2793114654547793,Weather,raw,72,216,raw:72:6,mid,high
7,0.9341021362292748,0.2709441936858424,0.0019653030464443213,0.0,0.5837858286270625,1.0305865681458497,0.001529328406527821,0.4023372109871872,0.19510505234453013,Weather,raw,72,216,raw:72:7,high,mid
8,0.9170311271924544,0.08232933290389177,0.04738660370608349,0.125,0.7156109607324075,1.0305865681458497,0.001529328406527821,0.34891568793414324,0.28071342971297847,Weather,raw,72,216,raw:72:8,mid,high
9,0.9185844059237,0.08210020069819417,0.04714892275680367,0.125,0.7138021080167992,1.0305865681458497,0.001529328406527821,0.3492778431262326,0.2801104788077757,Weather,raw,72,216,raw:72:9,mid,high
10,0.9261772447276947,0.22906284467321059,0.0363622428250319,0.0,0.6180722512888649,1.0305865681458497,0.001529328406527821,0.39720077740864573,0.20653385989846426,Weather,raw,72,216,raw:72:10,high,mid
11,0.30131689489507607,0.3777259262013476,0.5157970487860124,1.0,0.9422813588550533,1.0305865681458497,0.001529328406527821,0.39827995662747867,0.6479368957538604,Weather,raw,72,216,raw:72:11,high,high
12,0.17804938137165804,0.25264590309560464,0.4350728725312447,1.0,0.9626045906632441,1.0305865681458497,0.001529328406527821,0.28858938566616915,0.6547113063565907,Weather,raw,72,216,raw:72:12,mid,high
13,0.16211883498227064,0.2820689274117422,0.5589274436671813,1.0,0.8505618504107525,1.0305865681458497,0.001529328406527821,0.3343717353537314,0.6173637262724267,Weather,raw,72,216,raw:72:13,mid,high
14,0.0,0.0,0.0,0.0,-0.0,1.0305865681458497,0.001529328406527821,0.0,0.0005097761355092736,Weather,raw,72,216,raw:72:14,low,low
15,0.0,0.0,0.0,0.0,-0.0,1.0305865681458497,0.001529328406527821,0.0,0.0005097761355092736,Weather,raw,72,216,raw:72:15,low,low
16,0.0,0.009213167778223876,0.0,0.0,0.45751761159042265,1.0305865681458497,0.001529328406527821,0.003071055926074625,0.15301564666565015,Weather,raw,72,216,raw:72:16,low,low
17,0.0,0.007926137767354026,0.0,0.0,0.42859942054482075,1.0305865681458497,0.001529328406527821,0.002642045922451342,0.1433762496504495,Weather,raw,72,216,raw:72:17,low,low
18,0.0,0.007834905426961957,0.0,0.0,0.42219007683996784,1.0305865681458497,0.001529328406527821,0.0026116351423206524,0.14123980174883188,Weather,raw,72,216,raw:72:18,low,low
19,0.8751176265607816,0.25822574059822945,0.0008793855317913146,0.125,0.5779355237406893,1.0305865681458497,0.001529328406527821,0.37807425089693414,0.23482161738240573,Weather,raw,72,216,raw:72:19,high,mid
20,0.6395419110163645,0.1788726758372176,0.18509518086304733,1.0,0.9325194372205788,1.0305865681458497,0.001529328406527821,0.3345032559055432,0.6446829218757023,Weather,raw,72,216,raw:72:20,mid,high
0,0.9202583054570214,0.31419965491261825,0.05163318897731534,0.0,0.3849813078542149,1.0259195352798522,0.001295976763344624,0.4286970497823184,0.12875909487251985,Weather,raw,216,360,raw:216:0,high,low
